name,latitude,longitude
Amerongen,51.9753,5.4125
Amsterdam,52.3999,4.8880
Andijk,52.7503,5.2650
Arnemuiden,51.5166,3.7001
Bommenede,51.7387,3.9743
Borssele,51.6999,3.0567
Brouwersdam,51.7665,3.6217
Bruinisse,51.6665,4.1863
Buitenbanken,51.7950,2.9722
Delden,52.2457,6.6754
Den Helder,52.9672,4.7936
Den Hoorn (Texel),53.0000,4.8283
Den Oever,52.9302,5.0475
Diemen,52.3494,4.9836
Dinteloord,51.6529,4.3165
Driel,51.9658,5.8106
Echt,51.1062,5.8491
Eefde,52.1591,6.2284
Eierlandse Gat,53.2762,4.6603
Friesekust,52.8223,5.4788
Goudswaard,51.7823,4.2368
Grave,51.7610,5.7430
Hagestein,51.9895,5.1352
Haringvliet,51.8164,4.0936
Hengelo,52.2504,6.7673
Hollandse Kust,52.3930,4.0560
IJmuiden,52.5492,4.0570
K13a,53.2155,3.2217
Kamperland,51.5816,3.6433
Kinderdijk,51.8883,4.6260
Kloosterzande,51.3661,4.1026
Kornwerderzand,53.0684,5.3373
Krimpen aan de IJssel,51.9165,4.5790
Linne,51.1688,5.9225
Lith,51.8100,5.4550
Lobith,51.8575,6.0837
Maarssen,52.1338,5.0392
Maastricht,50.8688,5.6981
Middelharnis,51.7765,4.1921
Nieuwegein,52.0227,5.1130
Nieuw-Vossemeer,51.5846,4.2016
Oosterschelde,51.6551,3.6934
Ossenisse,51.4079,3.9668
Oude Tonge,51.6725,4.1395
Rilland,51.3988,4.2101
Roermond,51.2107,5.9829
Rotterdam,51.9053,4.5425
Sambeek,51.6322,6.0036
Sas van Gent,51.2303,3.8075
Schaar Stroomgat,51.6516,3.0997
Schiermonnikoog,53.5948,6.1654
Sint Philipsland,51.6542,4.1539
Spaarndam,52.4201,4.6935
Spijkenisse,51.8396,4.4209
Stellendam,51.8267,4.0500
Terneuzen,51.2940,3.8354
Velsen,52.4676,4.6237
Vlissingen,51.4420,3.6000
Westereems,53.6181,6.3667
Wieringen,52.8735,5.1189
Willemstad,51.6949,4.4218
Zuidland,51.8055,4.2829
Zwartsluis,52.6357,6.0760
